infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,383 BROADVIEW AVE
PARK ON PRIVATE PROPERTY,30,101 EGLINTON EAST
PARK ON PRIVATE PROPERTY,30,108 BERGAMOT AVE
PARK ON PRIVATE PROPERTY,30,3555 DON MILLS RD
PARK ON PRIVATE PROPERTY,30,3555 DON MILLS RD
PARK ON PRIVATE PROPERTY,30,508 OAKWOOD AVE
PARK ON PRIVATE PROPERTY,30,7 CAMERON ST
PARK ON PRIVATE PROPERTY,30,7 CAMERON ST
PARK ON PRIVATE PROPERTY,30,3555 DON MILLS RD
PARK ON PRIVATE PROPERTY,30,3555 DON MILLS RD
PARK ON PRIVATE PROPERTY,30,10 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,4256 BATHURST ST
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,10 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,10 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,3555 DON MILLS RD
PARK ON PRIVATE PROPERTY,30,10 QUEENS QUAY W
PARK ON PRIVATE PROPERTY,30,3555 DON MILLS RD
